Sem,Dia,Data,Horário,Em casa,xG,Resultado,xG,Visitante,Público,Local,Árbitro,Relatório da Partida,Notas,Link Relatório
4,sáb,2024-03-16,19:30,LA Galaxy,2.5,3–3,2.1,St. Louis,25.174,Dignity Health Sports Park,,Relatório da Partida,,/pt/partidas/ca9b30e2/LA-Galaxy-St-Louis-City-2024Marco16-Major-League-Soccer
4,sáb,2024-03-16,19:30,Nashville,1.1,2–1,1.3,Charlotte,28.008,Geodis Park,,Relatório da Partida,,/pt/partidas/ce241944/Nashville-SC-Charlotte-FC-2024Marco16-Major-League-Soccer
4,sáb,2024-03-16,19:30,Austin,1.2,2–2,2.4,Philadelphia,20.738,Q2 Stadium,,Relatório da Partida,,/pt/partidas/e0d5cb27/Austin-FC-Philadelphia-Union-2024Marco16-Major-League-Soccer
5,sáb,2024-03-23,14:00,NY Red Bulls,1.2,4–0,0.3,Inter Miami,25.219,Red Bull Arena,,Relatório da Partida,,/pt/partidas/7e276e42/New-York-Red-Bulls-Inter-Miami-2024Marco23-Major-League-Soccer
5,sáb,2024-03-23,14:00,NE Revolution,1.5,1–1,0.9,Fire,15.269,Gillette Stadium,,Relatório da Partida,,/pt/partidas/923922fd/New-England-Revolution-Chicago-Fire-2024Marco23-Major-League-Soccer
5,sáb,2024-03-23,16:30,Vancouver W'caps,0.6,1–2,0.9,RSL,22.178,BC Place Stadium,,Relatório da Partida,,/pt/partidas/beeb3325/Vancouver-Whitecaps-FC-Real-Salt-Lake-2024Marco23-Major-League-Soccer
5,sáb,2024-03-23,19:30,Charlotte,1.7,2–0,0.9,Crew,30.104,Bank of America Stadium,,Relatório da Partida,,/pt/partidas/5f01a1f7/Charlotte-FC-Columbus-Crew-2024Marco23-Major-League-Soccer
5,sáb,2024-03-23,19:30,Orlando City,1.9,2–0,0.2,Austin,20.985,Inter&Co Stadium,,Relatório da Partida,,/pt/partidas/909fab57/Orlando-City-Austin-FC-2024Marco23-Major-League-Soccer
5,sáb,2024-03-23,19:30,Toronto FC,2.4,2–0,0.4,Atlanta Utd,25.768,BMO Field,,Relatório da Partida,,/pt/partidas/ab42cb3e/Toronto-FC-Atlanta-United-2024Marco23-Major-League-Soccer
5,sáb,2024-03-23,19:30,FC Cincinnati,1.5,1–0,0.5,NYCFC,24.282,TQL Stadium,,Relatório da Partida,,/pt/partidas/f92c125a/FC-Cincinnati-New-York-City-FC-2024Marco23-Major-League-Soccer
5,sáb,2024-03-23,19:30,Portland Timbers,1.8,1–3,1.9,Philadelphia,23.046,Providence Park,,Relatório da Partida,,/pt/partidas/2d05cf5f/Portland-Timbers-Philadelphia-Union-2024Marco23-Major-League-Soccer
5,sáb,2024-03-23,19:30,Sporting KC,2.5,2–3,1.9,LA Galaxy,18.102,Children's Mercy Park,,Relatório da Partida,,/pt/partidas/69df8cd0/Sporting-Kansas-City-LA-Galaxy-2024Marco23-Major-League-Soccer
5,sáb,2024-03-23,19:30,Rapids,0.7,0–1,0.8,Dynamo FC,13.432,Dick's Sporting Goods Park,,Relatório da Partida,,/pt/partidas/7402934b/Colorado-Rapids-Houston-Dynamo-2024Marco23-Major-League-Soccer
5,sáb,2024-03-23,19:30,St. Louis,2.0,2–2,1.9,D.C. United,22.423,Citypark,,Relatório da Partida,,/pt/partidas/9b3a4ec5/St-Louis-City-DC-United-2024Marco23-Major-League-Soccer
5,sáb,2024-03-23,19:30,SJ Earthquakes,2.2,3–2,1.4,Seattle,16.109,PayPal Park,,Relatório da Partida,,/pt/partidas/ea230f1a/San-Jose-Earthquakes-Seattle-Sounders-FC-2024Marco23-Major-League-Soccer
5,sáb,2024-03-23,19:30,LAFC,4.8,5–0,0.5,Nashville,22.000,BMO Stadium,,Relatório da Partida,,/pt/partidas/fb236b9c/Los-Angeles-FC-Nashville-SC-2024Marco23-Major-League-Soccer
6,sáb,2024-03-30,14:00,Rapids,1.6,3–2,1.1,LAFC,14.386,Dick's Sporting Goods Park,,Relatório da Partida,,/pt/partidas/151503a3/Colorado-Rapids-Los-Angeles-FC-2024Marco30-Major-League-Soccer
6,sáb,2024-03-30,14:00,Philadelphia,2.1,2–0,0.6,Minnesota Utd,19.047,Subaru Park,,Relatório da Partida,,/pt/partidas/2ff313cf/Philadelphia-Union-Minnesota-United-2024Marco30-Major-League-Soccer
6,sáb,2024-03-30,19:30,Toronto FC,1.4,1–3,1.2,Sporting KC,24.382,BMO Field,,Relatório da Partida,,/pt/partidas/19d23a79/Toronto-FC-Sporting-Kansas-City-2024Marco30-Major-League-Soccer
6,sáb,2024-03-30,19:30,Inter Miami,2.1,1–1,1.1,NYCFC,21.550,Chase Stadium,,Relatório da Partida,,/pt/partidas/86ee1038/Inter-Miami-New-York-City-FC-2024Marco30-Major-League-Soccer
6,sáb,2024-03-30,19:30,Orlando City,0.7,1–1,1.8,NY Red Bulls,23.859,Inter&Co Stadium,,Relatório da Partida,,/pt/partidas/8d190635/Orlando-City-New-York-Red-Bulls-2024Marco30-Major-League-Soccer
6,sáb,2024-03-30,19:30,D.C. United,2.1,1–0,0.8,CF Montréal,18.402,Audi Field,,Relatório da Partida,,/pt/partidas/a2da36ff/DC-United-CF-Montreal-2024Marco30-Major-League-Soccer
6,sáb,2024-03-30,19:30,Charlotte,2.3,1–1,1.6,FC Cincinnati,30.043,Bank of America Stadium,,Relatório da Partida,,/pt/partidas/f08c8327/Charlotte-FC-FC-Cincinnati-2024Marco30-Major-League-Soccer
6,dom,2024-03-31,15:30,Atlanta Utd,2.7,3–0,0.7,Fire,42.525,Mercedes-Benz Stadium,,Relatório da Partida,,/pt/partidas/afc6625d/Atlanta-United-Chicago-Fire-2024Marco31-Major-League-Soccer
6,sáb,2024-03-30,19:30,Dynamo FC,0.8,2–1,0.2,SJ Earthquakes,16.184,Shell Energy Stadium,,Relatório da Partida,,/pt/partidas/22e49f68/Houston-Dynamo-San-Jose-Earthquakes-2024Marco30-Major-League-Soccer
6,sáb,2024-03-30,19:30,Vancouver W'caps,2.4,3–2,1.1,Portland Timbers,24.693,BC Place Stadium,,Relatório da Partida,,/pt/partidas/28f83b14/Vancouver-Whitecaps-FC-Portland-Timbers-2024Marco30-Major-League-Soccer
6,sáb,2024-03-30,19:30,Nashville,1.7,2–2,1.4,Crew,28.613,Geodis Park,,Relatório da Partida,,/pt/partidas/41aebff4/Nashville-SC-Columbus-Crew-2024Marco30-Major-League-Soccer
6,sáb,2024-03-30,19:30,Austin,1.5,2–1,0.7,FC Dallas,20.738,Q2 Stadium,,Relatório da Partida,,/pt/partidas/47c385e1/Austin-FC-FC-Dallas-2024Marco30-Major-League-Soccer
6,sáb,2024-03-30,19:30,RSL,1.8,3–1,0.5,St. Louis,19.357,America First Field,,Relatório da Partida,,/pt/partidas/8bb08620/Real-Salt-Lake-St-Louis-City-2024Marco30-Major-League-Soccer
6,sáb,2024-03-30,19:30,LA Galaxy,0.8,1–0,1.7,Seattle,22.736,Dignity Health Sports Park,,Relatório da Partida,,/pt/partidas/f8a4be2d/LA-Galaxy-Seattle-Sounders-FC-2024Marco30-Major-League-Soccer
7,sáb,2024-04-06,16:30,Vancouver W'caps,2.5,4–0,0.7,Toronto FC,24.678,BC Place Stadium,,Relatório da Partida,,/pt/partidas/f1c67d3f/Vancouver-Whitecaps-FC-Toronto-FC-2024Abril6-Major-League-Soccer
7,sáb,2024-04-06,16:45,LAFC,3.6,2–1,1.0,LA Galaxy,22.321,BMO Stadium,,Relatório da Partida,,/pt/partidas/26ac9ad0/El-Trafico-Los-Angeles-FC-LA-Galaxy-2024Abril6-Major-League-Soccer
7,sáb,2024-04-06,19:30,Crew,0.6,1–1,1.9,D.C. United,20.740,Lower.com Field,,Relatório da Partida,,/pt/partidas/2fbde7c7/Columbus-Crew-DC-United-2024Abril6-Major-League-Soccer
7,sáb,2024-04-06,19:30,Inter Miami,1.0,2–2,1.2,Rapids,20.868,Chase Stadium,,Relatório da Partida,,/pt/partidas/d04ed97c/Inter-Miami-Colorado-Rapids-2024Abril6-Major-League-Soccer
7,sáb,2024-04-06,19:30,NYCFC,2.4,1–1,1.9,Atlanta Utd,21.497,Citi Field,,Relatório da Partida,,/pt/partidas/df1be9b7/New-York-City-FC-Atlanta-United-2024Abril6-Major-League-Soccer
7,sáb,2024-04-06,19:30,FC Cincinnati,0.7,1–2,1.2,NY Red Bulls,25.513,TQL Stadium,,Relatório da Partida,,/pt/partidas/eee99db7/FC-Cincinnati-New-York-Red-Bulls-2024Abril6-Major-League-Soccer
7,sáb,2024-04-06,19:30,NE Revolution,1.1,1–0,0.6,Charlotte,22.196,Gillette Stadium,,Relatório da Partida,,/pt/partidas/f80d3365/New-England-Revolution-Charlotte-FC-2024Abril6-Major-League-Soccer
7,dom,2024-04-07,12:45,Sporting KC,2.6,3–3,2.1,Portland Timbers,17.424,Children's Mercy Park,,Relatório da Partida,,/pt/partidas/cd79ef4e/Sporting-Kansas-City-Portland-Timbers-2024Abril7-Major-League-Soccer
7,sáb,2024-04-06,19:30,Nashville,1.7,1–2,1.9,Philadelphia,27.739,Geodis Park,,Relatório da Partida,,/pt/partidas/2d9f0d72/Nashville-SC-Philadelphia-Union-2024Abril6-Major-League-Soccer
7,sáb,2024-04-06,19:30,Fire,1.4,2–1,1.0,Dynamo FC,18.844,Soldier Field,,Relatório da Partida,,/pt/partidas/3b5e1657/Chicago-Fire-Houston-Dynamo-2024Abril6-Major-League-Soccer
7,sáb,2024-04-06,19:30,Seattle,3.6,5–0,0.5,CF Montréal,30.013,Lumen Field,,Relatório da Partida,,/pt/partidas/603e6328/Seattle-Sounders-FC-CF-Montreal-2024Abril6-Major-League-Soccer
7,sáb,2024-04-06,19:30,Austin,1.9,4–3,2.7,SJ Earthquakes,20.738,Q2 Stadium,,Relatório da Partida,,/pt/partidas/c03fbc1a/Austin-FC-San-Jose-Earthquakes-2024Abril6-Major-League-Soccer
7,sáb,2024-04-06,19:30,Minnesota Utd,1.9,1–1,1.0,RSL,18.652,Allianz Field,,Relatório da Partida,,/pt/partidas/c1a70efa/Minnesota-United-Real-Salt-Lake-2024Abril6-Major-League-Soccer
7,sáb,2024-04-06,19:30,St. Louis,1.9,0–0,1.3,FC Dallas,22.423,Citypark,,Relatório da Partida,,/pt/partidas/cb095ec9/St-Louis-City-FC-Dallas-2024Abril6-Major-League-Soccer
8,sáb,2024-04-13,13:45,Portland Timbers,1.4,2–2,1.7,LAFC,23.245,Providence Park,,Relatório da Partida,,/pt/partidas/811d5ac7/Portland-Timbers-Los-Angeles-FC-2024Abril13-Major-League-Soccer
8,sáb,2024-04-13,19:30,CF Montréal,1.1,2–1,1.0,FC Cincinnati,19.619,Stade Saputo,,Relatório da Partida,,/pt/partidas/0a5d01ce/CF-Montreal-FC-Cincinnati-2024Abril13-Major-League-Soccer
8,sáb,2024-04-13,19:30,NYCFC,2.5,2–0,0.4,NE Revolution,20.744,Yankee Stadium,,Relatório da Partida,,/pt/partidas/34d70769/New-York-City-FC-New-England-Revolution-2024Abril13-Major-League-Soccer
8,sáb,2024-04-13,19:30,NY Red Bulls,1.4,0–0,0.6,Fire,17.501,Red Bull Arena,,Relatório da Partida,,/pt/partidas/45ec3a57/New-York-Red-Bulls-Chicago-Fire-2024Abril13-Major-League-Soccer
8,sáb,2024-04-13,19:30,Charlotte,1.0,3–2,1.8,Toronto FC,31.414,Bank of America Stadium,,Relatório da Partida,,/pt/partidas/89649673/Charlotte-FC-Toronto-FC-2024Abril13-Major-League-Soccer
8,sáb,2024-04-13,19:30,D.C. United,1.5,2–3,1.8,Orlando City,18.615,Audi Field,,Relatório da Partida,,/pt/partidas/a5134bd7/DC-United-Orlando-City-2024Abril13-Major-League-Soccer
8,dom,2024-04-14,14:30,Atlanta Utd,1.6,2–2,1.1,Philadelphia,42.763,Mercedes-Benz Stadium,,Relatório da Partida,,/pt/partidas/c039eaaf/Atlanta-United-Philadelphia-Union-2024Abril14-Major-League-Soccer
8,dom,2024-04-14,15:45,St. Louis,1.5,1–0,0.3,Austin,22.423,Citypark,,Relatório da Partida,,/pt/partidas/421c5841/St-Louis-City-Austin-FC-2024Abril14-Major-League-Soccer
8,sáb,2024-04-13,19:30,RSL,1.8,0–0,0.6,Crew,20.033,America First Field,,Relatório da Partida,,/pt/partidas/214b3f4d/Real-Salt-Lake-Columbus-Crew-2024Abril13-Major-League-Soccer
8,sáb,2024-04-13,19:30,FC Dallas,0.8,0–0,1.0,Seattle,19.096,Toyota Stadium,,Relatório da Partida,,/pt/partidas/315d0d90/FC-Dallas-Seattle-Sounders-FC-2024Abril13-Major-League-Soccer
8,sáb,2024-04-13,19:30,Vancouver W'caps,2.4,1–3,2.4,LA Galaxy,25.026,BC Place Stadium,,Relatório da Partida,,/pt/partidas/34f6b2f2/Vancouver-Whitecaps-FC-LA-Galaxy-2024Abril13-Major-League-Soccer
8,sáb,2024-04-13,19:30,SJ Earthquakes,2.2,0–3,1.8,Rapids,14.232,PayPal Park,,Relatório da Partida,,/pt/partidas/5aadf378/San-Jose-Earthquakes-Colorado-Rapids-2024Abril13-Major-League-Soccer
8,sáb,2024-04-13,19:30,Sporting KC,0.6,2–3,0.9,Inter Miami,72.610,GEHA Field at Arrowhead Stadium,,Relatório da Partida,,/pt/partidas/6b527863/Sporting-Kansas-City-Inter-Miami-2024Abril13-Major-League-Soccer
8,sáb,2024-04-13,19:30,Minnesota Utd,2.3,1–2,0.4,Dynamo FC,19.658,Allianz Field,,Relatório da Partida,,/pt/partidas/9800a9d3/Minnesota-United-Houston-Dynamo-2024Abril13-Major-League-Soccer
9,sáb,2024-04-20,19:30,Atlanta Utd,1.9,1–2,2.0,FC Cincinnati,42.600,Mercedes-Benz Stadium,,Relatório da Partida,,/pt/partidas/3a1b56cb/Atlanta-United-FC-Cincinnati-2024Abril20-Major-League-Soccer
9,sáb,2024-04-20,19:30,CF Montréal,1.5,2–2,1.5,Orlando City,19.619,Stade Saputo,,Relatório da Partida,,/pt/partidas/4db3074c/CF-Montreal-Orlando-City-2024Abril20-Major-League-Soccer
9,sáb,2024-04-20,19:30,Crew,1.5,2–2,0.6,Portland Timbers,20.740,Lower.com Field,,Relatório da Partida,,/pt/partidas/75fde75d/Columbus-Crew-Portland-Timbers-2024Abril20-Major-League-Soccer
9,sáb,2024-04-20,19:30,NYCFC,3.0,2–0,0.6,D.C. United,21.073,Citi Field,,Relatório da Partida,,/pt/partidas/90a1eb63/New-York-City-FC-DC-United-2024Abril20-Major-League-Soccer
9,sáb,2024-04-20,19:30,Toronto FC,1.5,1–0,1.5,NE Revolution,24.108,BMO Field,,Relatório da Partida,,/pt/partidas/ba3f4e39/Toronto-FC-New-England-Revolution-2024Abril20-Major-League-Soccer
9,sáb,2024-04-20,19:30,Inter Miami,2.6,3–1,2.4,Nashville,21.398,Chase Stadium,,Relatório da Partida,,/pt/partidas/ca5b6986/Inter-Miami-Nashville-SC-2024Abril20-Major-League-Soccer
